date,LST_Day_1km_mean
2000-02-01,286.04202857664154
2000-03-01,294.8383616510197
2000-04-01,308.9750765847122
2000-05-01,314.4490623582669
2000-06-01,319.2480341055826
2000-07-01,320.2379274092224
2000-08-01,318.8938196090011
2000-09-01,308.46961583444335
2000-10-01,294.0216746453163
2000-11-01,282.16216024697434
2000-12-01,279.34809138028174
2001-01-01,273.73640981697116
2001-02-01,280.30795703137517
2001-03-01,296.2814386209895
2001-04-01,306.18239316854914
2001-05-01,316.04638253494124
2001-06-01,317.45273987724613
2001-07-01,318.7544528605302
2001-08-01,316.079579993476
2001-09-01,307.49936610731083
2001-10-01,294.6601798534937
2001-11-01,284.8619231600647
2001-12-01,276.53233478556103
2002-01-01,278.4558008676599
2002-02-01,282.6545935264503
2002-03-01,291.5194356251766
2002-04-01,298.4968407585161
2002-05-01,307.6896891370484
2002-06-01,316.3007847474868
2002-07-01,319.4684376368469
2002-08-01,316.69599197738034
2002-09-01,309.5873251600392
2002-10-01,300.18625668714117
2002-11-01,287.92347929909107
2002-12-01,268.0298550920559
2003-01-01,274.5785969847775
2003-02-01,277.3610772518778
2003-03-01,287.3446801282523
2003-04-01,298.54520967198545
2003-05-01,307.68438209238354
2003-06-01,314.8145613656975
2003-07-01,317.5459530236359
2003-08-01,318.10853722982534
2003-09-01,307.3733927052803
2003-10-01,299.9684696607378
2003-11-01,284.05896842787666
2003-12-01,276.2744858139328
2004-01-01,277.447128961561
2004-02-01,284.55784269799227
2004-03-01,294.2017311443681
2004-04-01,304.97970189585965
2004-05-01,312.6160044821018
2004-06-01,319.18876991665957
2004-07-01,317.6053294529837
2004-08-01,316.1623243911294
2004-09-01,309.6721378398312
2004-10-01,296.0696513027335
2004-11-01,286.1629913074662
2004-12-01,274.5887120865895
2005-01-01,272.8099904189284
2005-02-01,277.34870813517676
2005-03-01,293.21629790292434
2005-04-01,305.9220306580194
2005-05-01,312.96220614274137
2005-06-01,319.70746108071296
2005-07-01,319.57818406645185
2005-08-01,316.3800692329206
2005-09-01,309.8760036742096
2005-10-01,298.64002075476594
2005-11-01,287.7677951035333
2005-12-01,277.7099815468534
2006-01-01,265.66607989234245
2006-02-01,281.81574694183115
2006-03-01,294.9834608638977
2006-04-01,305.61575401670115
2006-05-01,313.50605058383917
2006-06-01,320.0119740691261
2006-07-01,318.89420239648535
2006-08-01,317.6384173194637
2006-09-01,308.62647456407564
2006-10-01,298.8888673592996
2006-11-01,283.8811192831879
2006-12-01,274.60276130767306
2007-01-01,275.84127045342893
2007-02-01,282.1810212804061
2007-03-01,292.7034914165256
2007-04-01,302.9736311614478
2007-05-01,312.80278929709885
2007-06-01,319.62701953315855
2007-07-01,320.16324162367476
2007-08-01,317.9552870997524
2007-09-01,308.0409992702114
2007-10-01,299.3545667177487
2007-11-01,287.41160518086036
2007-12-01,271.8389676129927
2008-01-01,261.2740383463503
2008-02-01,273.96668645484795
2008-03-01,297.9708640279149
2008-04-01,305.96314083449505
2008-05-01,314.47579554252883
2008-06-01,319.15012466262607
2008-07-01,321.24410273268444
2008-08-01,317.4399590781735
2008-09-01,307.24590198644034
