date,ndvi_mean,LST_Day_1km_mean,LST_Night_1km_mean,precipitation_mean,ET_mean
2000-01-01,,,,0.7137819762185688,
2000-02-01,0.1138670438612304,286.04202857664154,270.30732263799047,0.4364728414708452,
2000-03-01,0.1325493237435551,294.8383616510197,273.9418657210952,0.637540548212293,
2000-04-01,0.1661462097794337,308.97507658471227,284.723710372604,0.553231629211884,
2000-05-01,0.1557716469229858,314.44906235826693,287.9146376222293,0.3282123678210938,
2000-06-01,0.1464576937349909,319.2480341055826,292.94956515390135,0.16450936924964513,
2000-07-01,0.149855572765255,320.2379274092224,295.6354459558325,0.06777057229720196,
2000-08-01,0.1535352735636531,318.8938196090012,293.8198771289781,0.04236441582817663,
2000-09-01,0.1446165169303957,308.4696158344434,284.1651457642635,0.09637712714681923,
2000-10-01,0.1304464105562166,294.0216746453163,275.359045494299,0.5805211024913282,
2000-11-01,0.1176521266259111,282.1621602469744,268.4410971709084,0.5388926163330964,
2000-12-01,0.1163509517252537,279.3480913802818,269.8656946742523,0.7573258804928812,
2001-01-01,0.0862355007486363,273.7364098169712,264.516020045674,0.5289139142630314,5.8519819109676
2001-02-01,0.0927584405646552,280.3079570313752,269.56234607630074,0.631642578547404,5.017931328305301
2001-03-01,0.146012155256013,296.2814386209895,276.7893220483484,0.9913922701447473,4.2377383918034
2001-04-01,0.1701549304117603,306.18239316854914,283.4078489508366,0.56929013966588,3.3268043871744
2001-05-01,0.1481683946314258,316.04638253494124,289.8687662075196,0.44064832185377484,2.1079954463245
2001-06-01,0.1396814062710042,317.45273987724613,291.8054484027273,0.1150399448296087,1.0442283069867002
2001-07-01,0.146407433572183,318.7544528605302,294.1486577080743,0.05297531621434538,1.2416116850880003
2001-08-01,0.1516024874248462,316.07957999347605,291.1817002566981,0.11198211730865275,1.7948822203436
2001-09-01,0.1362071068060236,307.4993661073109,284.3245863855185,0.03179536832897999,1.5123200053678
2001-10-01,0.1252939056228108,294.66017985349373,276.7656122009751,0.6205209180188609,3.4998069287585007
2001-11-01,0.1220410675443565,284.86192316006475,273.6737254542985,0.7176181348632595,5.1609089135993
2001-12-01,0.1244898175905387,276.53233478556103,268.2265855778497,0.7843743296981864,4.8286623023658
2002-01-01,0.1200760193359015,278.4558008676599,270.06279370062146,0.6883749150740346,5.526904483724301
2002-02-01,0.1265927148618811,282.6545935264503,272.96688549659643,1.237287486288,6.167579176102101
2002-03-01,0.1701347127333615,291.5194356251766,275.2755280695226,1.128266427358,5.5658045858115
