date,ET_mean
2001-01-01,0.005851981910967642
2001-02-01,0.005017931328305324
2001-03-01,0.004237738391803411
2001-04-01,0.003326804387174402
2001-05-01,0.0021079954463245456
2001-06-01,0.0010442283069867079
2001-07-01,0.0012416116850880396
2001-08-01,0.0017948822203436934
2001-09-01,0.0015123200053678316
2001-10-01,0.0034998069287585625
2001-11-01,0.005160908913599319
2001-12-01,0.004828662302365837
2002-01-01,0.005526904483724348
2002-02-01,0.0061675791761021965
2002-03-01,0.005565804585811546
2002-04-01,0.006861438947428482
2002-05-01,0.005719998874388648
2002-06-01,0.0027482795614661277
2002-07-01,0.0014857324151928578
2002-08-01,0.0017616309208781742
2002-09-01,0.0017988216014958047
2002-10-01,0.001999635031299389
2002-11-01,0.0052031572160749955
2002-12-01,0.004864683117442967
2003-01-01,0.006267487560008778
2003-02-01,0.006578421065910793
2003-03-01,0.007282905810920191
2003-04-01,0.006986635652536897
2003-05-01,0.006672957599771371
2003-06-01,0.004158763273668256
2003-07-01,0.00240624972922589
2003-08-01,0.0019441630741367571
2003-09-01,0.0022976939235267303
2003-10-01,0.0020775144801573413
2003-11-01,0.005734103236047779
2003-12-01,0.005031059737176063
2004-01-01,0.006079733305822189
2004-02-01,0.006112239331776627
2004-03-01,0.0058421852845100776
2004-04-01,0.006049675123326575
2004-05-01,0.0042237437139481466
2004-06-01,0.002105361516857171
2004-07-01,0.0024674455115774037
2004-08-01,0.0020919012192383516
2004-09-01,0.0018959189261942785
2004-10-01,0.0030430538864833247
2004-11-01,0.006346295130388642
2004-12-01,0.005790820074560887
2005-01-01,0.0057945707956346
2005-02-01,0.005477429331325172
2005-03-01,0.0075371331233687585
2005-04-01,0.005324925910384554
2005-05-01,0.004620791715439093
2005-06-01,0.002666734716418046
2005-07-01,0.0017214164979511162
2005-08-01,0.0022326398215541648
2005-09-01,0.0017924658871695052
2005-10-01,0.002018109756731493
2005-11-01,0.004654651734382541
2005-12-01,0.004986496566994052
2006-01-01,0.005803569491803916
2006-02-01,0.006827224241325537
2006-03-01,0.005585487347293594
2006-04-01,0.005082977688490103
2006-05-01,0.00329208177961726
2006-06-01,0.00187315171294501
2006-07-01,0.0016445535710143653
2006-08-01,0.0013366282538177828
2006-09-01,0.002020368404419216
2006-10-01,0.0034639716386721696
2006-11-01,0.005118266898850784
2006-12-01,0.005415643380341876
2007-01-01,0.005604991460111094
2007-02-01,0.006268324178835173
2007-03-01,0.006612494030631163
2007-04-01,0.0066224955175102655
2007-05-01,0.004126870738240228
2007-06-01,0.001966632689730365
2007-07-01,0.002028938290883861
2007-08-01,0.0017889615543527054
2007-09-01,0.001870231687859012
2007-10-01,0.001756018398327587
2007-11-01,0.00381098048469305
2007-12-01,0.005438240631157761
2008-01-01,0.005512204248501837
2008-02-01,0.0063300032746194685
2008-03-01,0.0034950090241415124
2008-04-01,0.0035332403393449324
2008-05-01,0.00297151328467483
2008-06-01,0.0015475064770501378
2008-07-01,0.00106256580678082
2008-08-01,0.0013406441604440942
2008-09-01,0.0018772800665936586
2008-10-01,0.0037099030265149513
2008-11-01,0.0056219844387992894
2008-12-01,0.005518714948024321
2009-01-01,0.006441346138074051
2009-02-01,0.006925975519385596
2009-03-01,0.0060546478901448335
2009-04-01,0.007465524580786847
2009-05-01,0.005938607506643413
2009-06-01,0.0028104407835907418
2009-07-01,0.0015460370155862646
2009-08-01,0.0022510023279521028
2009-09-01,0.0024845635383698916
2009-10-01,0.002093528606546465
2009-11-01,0.005259163994666558
2009-12-01,0.005045545768124303
2010-01-01,0.006063241782468014
2010-02-01,0.0076063759619504415
2010-03-01,0.006685149157730769
2010-04-01,0.006220848880287569
2010-05-01,0.00492064786646898
2010-06-01,0.0028231942516729123
2010-07-01,0.0022555487972282695
2010-08-01,0.0017015182220543872
2010-09-01,0.0021534143222668796
2010-10-01,0.002558311912229763
2010-11-01,0.00472841128711351
2010-12-01,0.004771459426019276
2011-01-01,0.00559408536177508
2011-02-01,0.006329736010336425
2011-03-01,0.004640277122147145
2011-04-01,0.004400498241856179
2011-05-01,0.0036378878990631918
2011-06-01,0.0021869707043132877
2011-07-01,0.0013040861831592429
2011-08-01,0.0014931379316268786
2011-09-01,0.0021922979596455624
2011-10-01,0.0027659839744253434
2011-11-01,0.006253136461362969
2011-12-01,0.005206752344083715
2012-01-01,0.005308484364778146
2012-02-01,0.006909316966904446
2012-03-01,0.006709947521719854
2012-04-01,0.004716213722066418
2012-05-01,0.004492746357857139
2012-06-01,0.0029587866121508705
2012-07-01,0.0020937768037815295
2012-08-01,0.001636995416868403
2012-09-01,0.0019828742766986175
2012-10-01,0.002833456331760477
2012-11-01,0.004979929435080902
2012-12-01,0.004727377085913646
2013-01-01,0.005598728428845892
2013-02-01,0.006191153179282386
2013-03-01,0.006251769172989665
2013-04-01,0.005794549380237448
2013-05-01,0.004479151992039403
2013-06-01,0.0023755285598933197
2013-07-01,0.0016142136936813942
2013-08-01,0.0026713681135648085
2013-09-01,0.0016960895607028115
2013-10-01,0.0028808677125157687
2013-11-01,0.004751388100184831
2013-12-01,0.00564815085473463
2014-01-01,0.005938317555990743
2014-02-01,0.006065891782050129
2014-03-01,0.006895698944909872
2014-04-01,0.005041176744403615
2014-05-01,0.00380475915440407
2014-06-01,0.0019889524177962303
2014-07-01,0.00156385044196407
2014-08-01,0.001227593916644583
2014-09-01,0.0021712271418859496
2014-10-01,0.0034765933950521503
2014-11-01,0.005751095248419012
2014-12-01,0.00485319173365008
2015-01-01,0.005902180444355483
2015-02-01,0.006899724132768272
2015-03-01,0.007405684267925825
2015-04-01,0.006045132276661292
2015-05-01,0.004881524450087508
2015-06-01,0.002036764088840581
2015-07-01,0.0014273808818330127
2015-08-01,0.002387553285717253
2015-09-01,0.0020944146458470652
2015-10-01,0.004203340341419449
2015-11-01,0.006218079746209789
2015-12-01,0.005024907152011169
2016-01-01,0.005516002911879007
2016-02-01,0.005746041528140363
2016-03-01,0.006663383488945695
2016-04-01,0.006901879685713981
2016-05-01,0.0051391513543847436
2016-06-01,0.0031776483653821385
2016-07-01,0.0025067744160394757
2016-08-01,0.0023235572672737374
2016-09-01,0.0023078642455172833
2016-10-01,0.0034930758545025473
2016-11-01,0.005376559231678236
2016-12-01,0.005161310961640081
2017-01-01,0.0059319425957912696
2017-02-01,0.006854929742188731
2017-03-01,0.007379834340811496
2017-04-01,0.005966640023744203
2017-05-01,0.004909759385015537
2017-06-01,0.0026979652673935865
2017-07-01,0.001697242818371612
2017-08-01,0.0020322932545609154
2017-09-01,0.0025980880653991103
2017-10-01,0.002163586275510629
2017-11-01,0.0037623152709386205
2017-12-01,0.004610601977204102
2018-01-01,0.005420476816828395
